Date,Revenue,COGS,rev_log,cogs_log,month,day_of_week,is_peak_season,rev_lag_364,cogs_lag_364,rev_lag_7,sin_year,cos_year,rev_roll_mean_7,month_avg_rev,day_avg_rev,rev_lag_14,rev_lag_28,day_of_month,is_payday_period,rev_cogs_ratio_7d,is_high_spending_period,is_holiday,holiday_nearby
2013-07-03,8038680.63,7869401.17,15.899775651341397,15.878492654357032,7,2,0,15.449357909240309,15.197543901328316,15.992223891728427,-0.023651127245231586,-0.9997202729664083,15.64478369916476,15.247784054504686,15.163693767519007,15.822024087602026,15.741357925772018,3,0,1.0038692720037292,1,0,0.0
2013-07-04,2521315.44,2408274.98,14.740291719911284,14.69442168847822,7,3,0,14.827756516101005,14.58124870310358,15.86297121179498,-0.04084439154329611,-0.9991655196610109,15.657694688078978,15.247784054504686,15.130415528306882,15.772594289395451,15.554730888642071,4,0,1.002371353113662,1,0,0.0
2013-07-05,2494107.65,2432073.97,14.729441968828144,14.704255348073332,7,4,0,14.931972725418376,14.738830066014737,15.65373291551367,-0.05802556932878035,-0.9983150972033183,15.67607951806718,15.247784054504686,15.04212520938489,15.52503910559627,15.16189612205546,5,0,1.002513136085297,0,0,0.0
2013-07-06,2452372.43,2331799.51,14.712566860527197,14.66215127819646,7,5,0,14.796814175947144,14.561367648537876,16.071634220083496,-0.07518957641475855,-0.9971692572470178,15.76515114716908,15.247784054504686,15.013265671891133,15.448132816370189,15.10940459778217,6,0,1.0025229619098646,0,0,0.0
2013-07-07,2958215.01,2950992.63,14.900096945279673,14.89765249533244,7,6,0,14.67453351001824,14.40807677702264,15.813242948704133,-0.09233133369539122,-0.9957283388645872,15.798325424637246,15.247784054504686,15.078331365203725,15.58102300642695,15.171380120801269,7,0,1.0019451630943474,0,0,0.0
2013-07-08,2571901.18,2450996.77,14.760156330956978,14.712005752677117,7,0,0,15.082003821635174,14.84077862172383,15.665517792011023,-0.10944576864891556,-0.993992768446958,15.825891921764839,15.247784054504686,15.138356953689229,15.472552312117893,15.314438905554514,8,0,1.0011316125329421,0,0,0.0
2013-07-09,4624825.33,4592718.95,15.346949377953363,15.33998298822887,7,1,0,15.47086586831386,15.212853616808562,15.790859020726677,-0.12652781683868314,-0.9919630595773397,15.83574028579463,15.247784054504686,15.151946181980348,15.72192047251814,15.425717946275864,9,0,1.0025306848821716,0,0,0.0
2013-07-10,3855254.64,3797797.81,15.16494787665898,15.149932196334102,7,2,0,15.53521636554838,15.2829963674716,15.899775651341397,-0.1435724234118113,-0.9896398128792412,15.822533394310769,15.247784054504686,15.163693767519007,15.992223891728427,15.790843737215122,10,0,1.0013403662706726,0,0,0.0
2013-07-11,5785320.61,5626075.87,15.570834510841646,15.542922931287334,7,3,0,15.562034316960265,15.310392981355308,14.740291719911284,-0.16057454459499376,-0.9870237158387383,15.662150609755955,15.247784054504686,15.130415528306882,15.86297121179498,15.739151323322808,11,0,1.0031215948066814,0,0,0.0
2013-07-12,6053300.71,5886949.95,15.616114418336725,15.588248756057904,7,4,0,15.485010620645566,15.23702817708776,14.729441968828144,-0.17752914918703497,-0.984115542601034,15.530109045943735,15.247784054504686,15.04212520938489,15.65373291551367,15.398916062533011,12,0,1.0017128796499306,0,0,0.0
2013-07-13,4161301.31,3995435.41,15.241338638534325,15.200663370265172,7,5,0,15.15597886522114,14.938966950186444,14.712566860527197,-0.19443122004766195,-0.9809161537413774,15.335956566007123,15.247784054504686,15.013265671891133,16.071634220083496,15.45766607835587,13,0,1.0034384845968864,0,0,0.0
2013-07-14,4482102.22,4419156.67,15.315602962975191,15.301459663494464,7,6,0,15.188933000246074,14.964335189502291,14.900096945279673,-0.2112757555821793,-0.9774264960104055,15.205507136946485,15.247784054504686,15.078331365203725,15.813242948704133,15.572335209122118,14,0,1.0001640828276692,0,0,0.0
2013-07-15,4387240.36,4219310.04,15.29421119573093,15.255182412020217,7,0,0,15.069359362440608,14.81180236833779,14.760156330956978,-0.2280577712215198,-0.9736476020539838,15.076169785367336,15.247784054504686,15.138356953689229,15.665517792011023,15.572557795280066,15,1,1.003272876457911,0,0,0.0
2013-07-16,4411030.39,4135243.61,15.299619095361914,15.235057040675771,7,1,0,15.314403536617249,15.057663914471275,15.346949377953363,-0.24477230089725957,-0.9695805901076308,15.012754122114005,15.247784054504686,15.151946181980348,15.790859020726677,15.707509946445208,16,0,1.0004541327542138,1,0,0.0
2013-07-17,4475453.64,4375610.63,15.314118500061342,15.29155686914544,7,2,0,15.461114997346536,15.219648069034385,15.16494787665898,-0.2614143985111562,-0.965226663665613,14.907778725730802,15.247784054504686,15.163693767519007,15.899775651341397,15.822024087602026,17,0,1.0009911383846009,0,0,0.0
2013-07-18,6265533.39,6163756.55,15.65057444036022,15.634197141423394,7,3,0,15.675160441641228,15.426401795809204,15.570834510841646,-0.2779791393987801,-0.9605871111248129,15.026427695863712,15.247784054504686,15.130415528306882,14.740291719911284,15.772594289395451,18,0,1.0017957741073482,1,0,0.0
2013-07-19,6310739.5,5960928.51,15.657763581039314,15.60073698493503,7,4,0,15.458667821076462,15.253920652176268,15.616114418336725,-0.2944616217868012,-0.9556633054034704,15.153095188650651,15.247784054504686,15.04212520938489,14.729441968828144,15.52503910559627,19,0,1.001787606915511,0,0,0.0
